File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_037024_20210421_4022359_100000_1619027908447.tif,0.28
LANDSAT_LC08_C02_T1_LC08_041024_20221114_3031092_100000_1668450246707.tif,0.15
LANDSAT_LC08_C02_T1_LC08_041019_20140703_406QLD0_100000_1404411681860.tif,4.86
LANDSAT_LC08_C02_T1_LC08_042024_20170702_3031092_100000_1499020171228.tif,2.73
LANDSAT_LC08_C02_T1_LC08_041024_20220927_3031092_100000_1664303052239.tif,4.59
LANDSAT_LC08_C02_T1_LC08_037024_20160829_4022359_100000_1472493540438.tif,0.21
LANDSAT_LC08_C02_T1_LC08_042018_20140726_406QLD0_100000_1406399234950.tif,4.45
LANDSAT_LC08_C02_T1_LC08_041018_20130401_406QLD0_100000_1364840551425.tif,0.22
LANDSAT_LC08_C02_T1_LC08_041024_20140225_3031092_100000_1393352656237.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041025_20180409_3031092_100000_1523298199622.tif,1.14
LANDSAT_LC08_C02_T1_LC08_037024_20131008_4022359_100000_1381255243458.tif,0.36
LANDSAT_LC08_C02_T1_LC08_041018_20180425_406QLD0_100000_1524680423218.tif,0.01
LANDSAT_LC08_C02_T1_LC08_058014_20210203_2201401_100000_1612382685892.tif,3.81
LANDSAT_LC08_C02_T1_LC08_042024_20170718_3031092_100000_1500402575596.tif,2.34
LANDSAT_LC08_C02_T1_LC08_041018_20140124_406QLD0_100000_1390587737774.tif,0.65
LANDSAT_LC08_C02_T1_LC08_058014_20210424_2201401_100000_1619294655122.tif,1.65
LANDSAT_LC08_C02_T1_LC08_042018_20211204_406QLD0_100000_1638642462751.tif,2.32
LANDSAT_LC08_C02_T1_LC08_058013_20130418_2201401_100000_1366315562732.tif,0.63
LANDSAT_LC08_C02_T1_LC08_058014_20131011_2201401_100000_1381521991341.tif,1.44
LANDSAT_LC08_C02_T1_LC08_042023_20140624_3012202_100000_1403634543038.tif,4.08
LANDSAT_LC08_C02_T1_LC08_043022_20140122_3012202_100000_1390415775487.tif,1.36
LANDSAT_LC08_C02_T1_LC08_044018_20191111_2202203_100000_1573497604319.tif,0.86
LANDSAT_LC08_C02_T1_LC08_043018_20230304_2202203_100000_1677954813807.tif,0.12
LANDSAT_LC08_C02_T1_LC08_057014_20140225_2201401_100000_1393358350496.tif,0.07
LANDSAT_LC08_C02_T1_LC08_058014_20230703_2201401_100000_1688414656826.tif,4.69
LANDSAT_LC08_C02_T1_LC08_041018_20220215_406QLD0_100000_1644949274412.tif,3.23
LANDSAT_LC08_C02_T1_LC08_042018_20170312_406QLD0_100000_1489343226027.tif,0.0
LANDSAT_LC08_C02_T1_LC08_049019_20190319_1192948_100000_1553022635713.tif,0.18
